Calibration metrics:
x0: Cal. error 0.4790, RMSE 77.7377, R2 -138283.4688, NCRPS 305.5097, RQE -138.3415
x42: Cal. error 0.2850, RMSE 63.1467, R2 -92140.9141, NCRPS 188.2768, RQE -310.9450
x43: Cal. error 0.2110, RMSE 34.5242, R2 -27733.6543, NCRPS 102.2245, RQE -358.0574
x44: Cal. error 0.2940, RMSE 36.0894, R2 -29961.4258, NCRPS 89.5523, RQE -564.9299
x45: Cal. error 0.4700, RMSE 113.0484, R2 -279134.9062, NCRPS 341.2544, RQE -472.2559
x46: Cal. error 0.1340, RMSE 90.8249, R2 -205503.3438, NCRPS 258.3131, RQE -522.3214
x47: Cal. error 0.2850, RMSE 47.8134, R2 -50480.0742, NCRPS 153.0802, RQE -216.9452
x48: Cal. error 0.1550, RMSE 49.6149, R2 -56378.6562, NCRPS 185.1379, RQE -168.7150
x49: Cal. error 0.4950, RMSE 65.9228, R2 -103515.6562, NCRPS 155.6150, RQE -454.8292
x50: Cal. error 0.3150, RMSE 67.5737, R2 -105509.3203, NCRPS 203.7017, RQE -326.8505
x51: Cal. error 0.1540, RMSE 40.1817, R2 -37564.6992, NCRPS 109.3045, RQE -376.0625
x52: Cal. error 0.3240, RMSE 40.9119, R2 -38498.3945, NCRPS 91.4786, RQE -592.2740
x53: Cal. error 0.4750, RMSE 118.3427, R2 -305697.4375, NCRPS 364.3217, RQE -480.3068
x54: Cal. error 0.1780, RMSE 98.2781, R2 -240644.1562, NCRPS 286.6250, RQE -537.9031
x55: Cal. error 0.3250, RMSE 51.6936, R2 -59036.6992, NCRPS 167.2785, RQE -225.8248
x56: Cal. error 0.1650, RMSE 49.6967, R2 -56574.0156, NCRPS 186.4015, RQE -172.0568
x57: Cal. error 0.4950, RMSE 70.0346, R2 -117040.4375, NCRPS 166.9859, RQE -471.1842
x58: Cal. error 0.3450, RMSE 71.8985, R2 -119452.2344, NCRPS 217.9742, RQE -342.6424
x59: Cal. error 0.1190, RMSE 46.0858, R2 -49408.9219, NCRPS 118.9976, RQE -393.6255
x60: Cal. error 0.3540, RMSE 46.7170, R2 -50210.6914, NCRPS 96.2637, RQE -616.5019
x61: Cal. error 0.4810, RMSE 122.8604, R2 -329297.0312, NCRPS 382.6863, RQE -490.0423
x62: Cal. error 0.2250, RMSE 105.1606, R2 -275558.6875, NCRPS 312.2507, RQE -557.1953
x63: Cal. error 0.3550, RMSE 55.1861, R2 -67170.5312, NCRPS 179.1572, RQE -236.4554
x64: Cal. error 0.1720, RMSE 50.0061, R2 -57362.6758, NCRPS 188.2061, RQE -173.6054
x65: Cal. error 0.4950, RMSE 73.5012, R2 -128932.6719, NCRPS 177.6038, RQE -481.1274
x66: Cal. error 0.3670, RMSE 76.1311, R2 -133960.3125, NCRPS 233.3675, RQE -354.8058
x67: Cal. error 0.1520, RMSE 51.4912, R2 -61700.1406, NCRPS 131.4677, RQE -403.2817
x68: Cal. error 0.3840, RMSE 50.7350, R2 -59200.7578, NCRPS 100.7414, RQE -630.2376
x69: Cal. error 0.4850, RMSE 128.0248, R2 -357529.0000, NCRPS 402.6732, RQE -503.8955
x70: Cal. error 0.2650, RMSE 112.9820, R2 -318134.0000, NCRPS 340.4160, RQE -582.9569
x71: Cal. error 0.3750, RMSE 58.8944, R2 -76345.0781, NCRPS 191.2473, RQE -249.5982
x72: Cal. error 0.1750, RMSE 48.9532, R2 -54956.8867, NCRPS 185.2509, RQE -178.1215
x73: Cal. error 0.4950, RMSE 78.1058, R2 -145603.3906, NCRPS 190.8938, RQE -492.9605
x74: Cal. error 0.3840, RMSE 80.2247, R2 -148630.8906, NCRPS 247.0724, RQE -366.7872
x75: Cal. error 0.1660, RMSE 57.0163, R2 -75708.4531, NCRPS 145.7080, RQE -414.0798
x76: Cal. error 0.3930, RMSE 57.0148, R2 -74755.6953, NCRPS 110.8399, RQE -645.3043
x77: Cal. error 0.4850, RMSE 131.4372, R2 -376844.3438, NCRPS 415.0130, RQE -515.9374
x78: Cal. error 0.2850, RMSE 118.6599, R2 -350566.9688, NCRPS 360.0440, RQE -605.6060
x79: Cal. error 0.3850, RMSE 61.4971, R2 -83271.9297, NCRPS 199.0407, RQE -261.8884

Average values: Cal. error 0.3034, RMSE 71.8282, R2 -141358.6719, NCRPS 217.7709, RQE -389.7483

Standard deviation: Cal. error 0.1367, RMSE 30.9117, R2 124158.1016, NCRPS 107.8267, RQE 140.4266


Average values: Cal. error, RMSE, R2 

		 0.3034 $ \pm$ 0.1367 & 71.8282  $ \pm$ 30.9117 &  -141358.6719 $ \pm$ 124158.1016 \\ 

		 0.3034  & 71.8282  &  -141358.6719  \\ 

NaN/Inf check for metric arrays:
Cal error: has_nan=False, has_inf=False, shape=(80,)
RMSE: has_nan=False, has_inf=False, shape=(80,)
R2: has_nan=False, has_inf=False, shape=(80,)
NCRPS: has_nan=False, has_inf=False, shape=(80,)
RQE: has_nan=False, has_inf=False, shape=(80,)
