Calibration metrics:
x0: Cal. error 0.3130, RMSE 0.2221, R2 -0.1288, NCRPS 0.6891, RQE 12.3767
x18: Cal. error 0.0630, RMSE 0.3314, R2 -1.5370, NCRPS 0.8309, RQE 11.7797
x19: Cal. error 0.0400, RMSE 0.2886, R2 -0.9389, NCRPS 0.7598, RQE 12.1308
x20: Cal. error 0.3480, RMSE 0.2175, R2 -0.0881, NCRPS 0.7104, RQE 12.1368
x21: Cal. error 0.0760, RMSE 0.3709, R2 -1.9952, NCRPS 0.8632, RQE 11.8006
x22: Cal. error 0.3970, RMSE 0.2020, R2 -0.0182, NCRPS 0.7387, RQE 12.2321
x23: Cal. error 0.2600, RMSE 0.2300, R2 -0.1682, NCRPS 0.6882, RQE 12.0301
x24: Cal. error 0.1320, RMSE 0.2441, R2 -0.3630, NCRPS 0.6912, RQE 12.3615
x25: Cal. error 0.1180, RMSE 0.3702, R2 -2.2702, NCRPS 0.8865, RQE 11.9495
x26: Cal. error 0.0920, RMSE 0.3597, R2 -1.9916, NCRPS 0.8948, RQE 11.7701
x27: Cal. error 0.0670, RMSE 0.3108, R2 -1.2482, NCRPS 0.8038, RQE 12.1225
x28: Cal. error 0.3260, RMSE 0.2203, R2 -0.1157, NCRPS 0.7040, RQE 12.1379
x29: Cal. error 0.1090, RMSE 0.4008, R2 -2.4991, NCRPS 0.9229, RQE 11.7918
x30: Cal. error 0.3880, RMSE 0.2012, R2 -0.0102, NCRPS 0.7305, RQE 12.2374
x31: Cal. error 0.2260, RMSE 0.2341, R2 -0.2101, NCRPS 0.6862, RQE 12.0284
x32: Cal. error 0.1180, RMSE 0.2515, R2 -0.4470, NCRPS 0.7032, RQE 12.3521
x33: Cal. error 0.1150, RMSE 0.4016, R2 -2.8435, NCRPS 0.9537, RQE 11.9409
x34: Cal. error 0.0950, RMSE 0.3847, R2 -2.4226, NCRPS 0.9513, RQE 11.7542
x35: Cal. error 0.0870, RMSE 0.3268, R2 -1.4852, NCRPS 0.8378, RQE 12.1086
x36: Cal. error 0.3120, RMSE 0.2218, R2 -0.1323, NCRPS 0.6951, RQE 12.1392
x37: Cal. error 0.1100, RMSE 0.4299, R2 -3.0276, NCRPS 0.9883, RQE 11.7703
x38: Cal. error 0.3800, RMSE 0.2020, R2 -0.0177, NCRPS 0.7280, RQE 12.2387
x39: Cal. error 0.1990, RMSE 0.2416, R2 -0.2885, NCRPS 0.6982, RQE 12.0259
x40: Cal. error 0.1040, RMSE 0.2580, R2 -0.5221, NCRPS 0.7170, RQE 12.3409
x41: Cal. error 0.1090, RMSE 0.4248, R2 -3.3004, NCRPS 1.0128, RQE 11.9286
x42: Cal. error 0.0910, RMSE 0.4064, R2 -2.8170, NCRPS 1.0058, RQE 11.7359
x43: Cal. error 0.0930, RMSE 0.3442, R2 -1.7574, NCRPS 0.8763, RQE 12.0924
x44: Cal. error 0.2900, RMSE 0.2243, R2 -0.1579, NCRPS 0.6953, RQE 12.1429
x45: Cal. error 0.0990, RMSE 0.4579, R2 -3.5789, NCRPS 1.0607, RQE 11.7533
x46: Cal. error 0.3630, RMSE 0.2034, R2 -0.0308, NCRPS 0.7288, RQE 12.2396
x47: Cal. error 0.1860, RMSE 0.2485, R2 -0.3632, NCRPS 0.7054, RQE 12.0230
x48: Cal. error 0.0900, RMSE 0.2614, R2 -0.5648, NCRPS 0.7250, RQE 12.3198
x49: Cal. error 0.0910, RMSE 0.4525, R2 -3.8780, NCRPS 1.0820, RQE 11.9149
x50: Cal. error 0.0590, RMSE 0.4328, R2 -3.3277, NCRPS 1.0761, RQE 11.7152
x51: Cal. error 0.0800, RMSE 0.3616, R2 -2.0428, NCRPS 0.9212, RQE 12.0740
x52: Cal. error 0.2770, RMSE 0.2266, R2 -0.1813, NCRPS 0.6963, RQE 12.1437
x53: Cal. error 0.0610, RMSE 0.4906, R2 -4.2528, NCRPS 1.1416, RQE 11.7343
x54: Cal. error 0.3610, RMSE 0.2046, R2 -0.0434, NCRPS 0.7288, RQE 12.2401
x55: Cal. error 0.1680, RMSE 0.2537, R2 -0.4216, NCRPS 0.7104, RQE 12.0193
x56: Cal. error 0.0860, RMSE 0.2671, R2 -0.6341, NCRPS 0.7408, RQE 12.3072
x57: Cal. error 0.0500, RMSE 0.4855, R2 -4.6248, NCRPS 1.1666, RQE 11.9016
x58: Cal. error 0.0370, RMSE 0.4588, R2 -3.8632, NCRPS 1.1456, RQE 11.6952
x59: Cal. error 0.0580, RMSE 0.3800, R2 -2.3602, NCRPS 0.9722, RQE 12.0560
x60: Cal. error 0.2600, RMSE 0.2304, R2 -0.2209, NCRPS 0.7014, RQE 12.1443
x61: Cal. error 0.0300, RMSE 0.5212, R2 -4.9273, NCRPS 1.2185, RQE 11.7158
x62: Cal. error 0.3530, RMSE 0.2052, R2 -0.0489, NCRPS 0.7249, RQE 12.2402
x63: Cal. error 0.1480, RMSE 0.2582, R2 -0.4705, NCRPS 0.7167, RQE 12.0365
x64: Cal. error 0.0860, RMSE 0.2751, R2 -0.7364, NCRPS 0.7636, RQE 12.2949
x65: Cal. error 0.0180, RMSE 0.5204, R2 -5.4641, NCRPS 1.2519, RQE 11.8885
x66: Cal. error 0.0510, RMSE 0.4854, R2 -4.4466, NCRPS 1.2191, RQE 11.6755
x67: Cal. error 0.0320, RMSE 0.3963, R2 -2.6552, NCRPS 1.0223, RQE 12.0384
x68: Cal. error 0.2350, RMSE 0.2331, R2 -0.2493, NCRPS 0.7017, RQE 12.1448
x69: Cal. error 0.0330, RMSE 0.5538, R2 -5.6908, NCRPS 1.3010, RQE 11.6977
x70: Cal. error 0.3470, RMSE 0.2058, R2 -0.0557, NCRPS 0.7205, RQE 12.2402
x71: Cal. error 0.1320, RMSE 0.2637, R2 -0.5307, NCRPS 0.7300, RQE 12.0485
x72: Cal. error 0.0830, RMSE 0.2853, R2 -0.8664, NCRPS 0.7880, RQE 12.2840
x73: Cal. error 0.0430, RMSE 0.5557, R2 -6.3692, NCRPS 1.3414, RQE 11.8771
x74: Cal. error 0.0680, RMSE 0.5096, R2 -4.9976, NCRPS 1.2897, RQE 11.6629
x75: Cal. error 0.0300, RMSE 0.4137, R2 -2.9855, NCRPS 1.0753, RQE 12.0221
x76: Cal. error 0.2220, RMSE 0.2402, R2 -0.3264, NCRPS 0.7105, RQE 12.1453
x77: Cal. error 0.0710, RMSE 0.5914, R2 -6.6301, NCRPS 1.3966, RQE 11.6818
x78: Cal. error 0.3340, RMSE 0.2068, R2 -0.0652, NCRPS 0.7168, RQE 12.2440
x79: Cal. error 0.1130, RMSE 0.2722, R2 -0.6318, NCRPS 0.7498, RQE 12.0451

Average values: Cal. error 0.1692, RMSE 0.3130, R2 -1.5031, NCRPS 0.8452, RQE 12.0329

Standard deviation: Cal. error 0.1257, RMSE 0.1049, R2 1.7277, NCRPS 0.1890, RQE 0.2040


Average values: Cal. error, RMSE, R2 

		 0.1692 $ \pm$ 0.1257 & 0.3130  $ \pm$ 0.1049 &  -1.5031 $ \pm$ 1.7277 \\ 

		 0.1692  & 0.3130  &  -1.5031  \\ 

NaN/Inf check for metric arrays:
Cal error: has_nan=False, has_inf=False, shape=(80,)
RMSE: has_nan=False, has_inf=False, shape=(80,)
R2: has_nan=False, has_inf=False, shape=(80,)
NCRPS: has_nan=False, has_inf=False, shape=(80,)
RQE: has_nan=False, has_inf=False, shape=(80,)
