Calibration metrics:
x0: Cal. error 0.1700, RMSE 760.9178, R2 -13249088.0000, NCRPS 1969.9537, RQE -255.2981
x26: Cal. error 0.5050, RMSE 1606.5847, R2 -59693384.0000, NCRPS 7005.5151, RQE -4245.5118
x27: Cal. error 0.5050, RMSE 6287.5918, R2 -920069760.0000, NCRPS 20498.6879, RQE 5294.2699
x28: Cal. error 0.5050, RMSE 6359.7861, R2 -930212032.0000, NCRPS 28175.0097, RQE -15645.4478
x29: Cal. error 0.5050, RMSE 6795.5298, R2 -1005633600.0000, NCRPS 27070.0403, RQE -20361.9329
x30: Cal. error 0.5050, RMSE 9764.1055, R2 -2378240512.0000, NCRPS 43575.0727, RQE -28199.3707
x31: Cal. error 0.5050, RMSE 8509.7129, R2 -1598468736.0000, NCRPS 32692.9106, RQE -26995.7973
x32: Cal. error 0.3730, RMSE 914.5276, R2 -19131440.0000, NCRPS 2641.7928, RQE -74.3034
x33: Cal. error 0.5050, RMSE 10564.2197, R2 -2659990528.0000, NCRPS 44243.2903, RQE -34341.1408
x34: Cal. error 0.5050, RMSE 1602.3315, R2 -59366904.0000, NCRPS 6986.5845, RQE -4222.4374
x35: Cal. error 0.5050, RMSE 6757.1270, R2 -1062184832.0000, NCRPS 21714.8306, RQE 5296.7822
x36: Cal. error 0.5050, RMSE 6322.2124, R2 -919815936.0000, NCRPS 28001.4936, RQE -15549.6374
x37: Cal. error 0.5050, RMSE 6924.1548, R2 -1044703488.0000, NCRPS 27525.3214, RQE -20921.0626
x38: Cal. error 0.5050, RMSE 9871.2529, R2 -2429704704.0000, NCRPS 43959.7087, RQE -28774.3806
x39: Cal. error 0.5050, RMSE 8728.4404, R2 -1682114816.0000, NCRPS 33472.3244, RQE -28030.4330
x40: Cal. error 0.3750, RMSE 999.0900, R2 -22832968.0000, NCRPS 2924.9120, RQE -50.7674
x41: Cal. error 0.5050, RMSE 10877.3379, R2 -2819147264.0000, NCRPS 45226.7494, RQE -36032.6144
x42: Cal. error 0.5050, RMSE 1595.1580, R2 -58798096.0000, NCRPS 6953.4451, RQE -4195.5908
x43: Cal. error 0.5050, RMSE 7374.1055, R2 -1265302272.0000, NCRPS 23527.8254, RQE 5304.7537
x44: Cal. error 0.5050, RMSE 6270.9106, R2 -904646848.0000, NCRPS 27740.9228, RQE -15437.4616
x45: Cal. error 0.5050, RMSE 7105.1479, R2 -1102638976.0000, NCRPS 28229.4740, RQE -21606.8608
x46: Cal. error 0.5050, RMSE 10028.3086, R2 -2505340672.0000, NCRPS 44556.5436, RQE -29540.1926
x47: Cal. error 0.5050, RMSE 9033.0264, R2 -1801757440.0000, NCRPS 34623.6676, RQE -29316.3402
x48: Cal. error 0.3850, RMSE 1059.3175, R2 -25701068.0000, NCRPS 3156.0777, RQE -24.0089
x49: Cal. error 0.5050, RMSE 11077.2432, R2 -2922821120.0000, NCRPS 45788.6386, RQE -36990.8174
x50: Cal. error 0.5050, RMSE 1577.7448, R2 -57519288.0000, NCRPS 6875.3194, RQE -4154.0219
x51: Cal. error 0.5050, RMSE 7814.2617, R2 -1420727936.0000, NCRPS 24913.0742, RQE 5289.8431
x52: Cal. error 0.5050, RMSE 6186.3384, R2 -880281600.0000, NCRPS 27319.5057, RQE -15305.1264
x53: Cal. error 0.5050, RMSE 7219.9932, R2 -1137847680.0000, NCRPS 28648.4096, RQE -21967.0133
x54: Cal. error 0.5050, RMSE 10107.9365, R2 -2545591808.0000, NCRPS 44863.5651, RQE -29932.3163
x55: Cal. error 0.5050, RMSE 9238.8584, R2 -1885786496.0000, NCRPS 35463.5673, RQE -30016.1597
x56: Cal. error 0.3980, RMSE 1075.3325, R2 -26488360.0000, NCRPS 3236.0129, RQE -6.0992
x57: Cal. error 0.5050, RMSE 11089.2373, R2 -2934391296.0000, NCRPS 45771.6017, RQE -37132.4005
x58: Cal. error 0.5050, RMSE 1556.5160, R2 -55984164.0000, NCRPS 6771.2160, RQE -4135.8449
x59: Cal. error 0.5050, RMSE 7937.0796, R2 -1465553664.0000, NCRPS 25346.2473, RQE 5235.0515
x60: Cal. error 0.5050, RMSE 6102.3013, R2 -856727040.0000, NCRPS 26872.6811, RQE -15257.6506
x61: Cal. error 0.5050, RMSE 7224.1104, R2 -1138502272.0000, NCRPS 28652.4422, RQE -22020.2746
x62: Cal. error 0.5050, RMSE 10078.8008, R2 -2531206144.0000, NCRPS 44727.3893, RQE -29987.3528
x63: Cal. error 0.5050, RMSE 9266.8311, R2 -1894033792.0000, NCRPS 35600.2772, RQE -30067.9960
x64: Cal. error 0.4050, RMSE 1069.6398, R2 -26246124.0000, NCRPS 3224.2832, RQE -9.3406
x65: Cal. error 0.5050, RMSE 11033.0156, R2 -2905136128.0000, NCRPS 45525.2131, RQE -37054.0945
x66: Cal. error 0.5050, RMSE 1538.7423, R2 -54725200.0000, NCRPS 6694.2146, RQE -4107.2409
x67: Cal. error 0.5050, RMSE 7905.6377, R2 -1454455936.0000, NCRPS 25266.9156, RQE 5176.7132
x68: Cal. error 0.5050, RMSE 6049.5142, R2 -841704576.0000, NCRPS 26602.8992, RQE -15201.1771
x69: Cal. error 0.5050, RMSE 7187.8359, R2 -1126990720.0000, NCRPS 28515.5318, RQE -21987.9258
x70: Cal. error 0.5050, RMSE 10026.7334, R2 -2505598720.0000, NCRPS 44518.8545, RQE -29968.8312
x71: Cal. error 0.5050, RMSE 9222.0195, R2 -1871938304.0000, NCRPS 35425.9340, RQE -29968.7257
x72: Cal. error 0.4650, RMSE 1228.2555, R2 -34597608.0000, NCRPS 3852.1176, RQE 76.4322
x73: Cal. error 0.5050, RMSE 11808.3174, R2 -3328002816.0000, NCRPS 48214.7861, RQE -39830.1956
x74: Cal. error 0.5050, RMSE 1542.8491, R2 -54972140.0000, NCRPS 6736.2088, RQE -4083.5278
x75: Cal. error 0.5050, RMSE 9053.3115, R2 -1908828032.0000, NCRPS 29308.7503, RQE 5207.8415
x76: Cal. error 0.5050, RMSE 6043.8779, R2 -840051200.0000, NCRPS 26648.1518, RQE -14960.9141
x77: Cal. error 0.5050, RMSE 7657.2490, R2 -1279005184.0000, NCRPS 30339.8299, RQE -23305.3132
x78: Cal. error 0.5050, RMSE 10525.4209, R2 -2758311936.0000, NCRPS 46549.2600, RQE -31638.8231
x79: Cal. error 0.5050, RMSE 9964.2285, R2 -2186163456.0000, NCRPS 38411.0121, RQE -32142.8108

Average values: Cal. error 0.4878, RMSE 6666.1875, R2 -1319991040.0000, NCRPS 26813.3689, RQE -16565.1678

Standard deviation: Cal. error 0.0521, RMSE 3460.8215, R2 997314496.0000, NCRPS 14777.9598, RQE 14357.7415


Average values: Cal. error, RMSE, R2 

		 0.4878 $ \pm$ 0.0521 & 6666.1875  $ \pm$ 3460.8215 &  -1319991040.0000 $ \pm$ 997314496.0000 \\ 

		 0.4878  & 6666.1875  &  -1319991040.0000  \\ 

NaN/Inf check for metric arrays:
Cal error: has_nan=False, has_inf=False, shape=(80,)
RMSE: has_nan=False, has_inf=False, shape=(80,)
R2: has_nan=False, has_inf=False, shape=(80,)
NCRPS: has_nan=False, has_inf=False, shape=(80,)
RQE: has_nan=False, has_inf=False, shape=(80,)
