Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.4014, R2 -2.6873, NCRPS 1.6545, RQE 13.0872
x23: Cal. error 0.4560, RMSE 0.3761, R2 -2.1248, NCRPS 1.4274, RQE 12.5608
x24: Cal. error 0.4700, RMSE 0.3106, R2 -1.2072, NCRPS 1.1777, RQE 12.8717
x25: Cal. error 0.4050, RMSE 0.2650, R2 -0.6760, NCRPS 0.9354, RQE 12.3227
x26: Cal. error 0.1570, RMSE 0.2166, R2 -0.0845, NCRPS 0.6610, RQE 11.1236
x27: Cal. error 0.4100, RMSE 0.2832, R2 -0.8669, NCRPS 0.9976, RQE 12.5660
x28: Cal. error 0.4740, RMSE 0.2813, R2 -0.8205, NCRPS 1.0597, RQE 12.4938
x29: Cal. error 0.1780, RMSE 0.2446, R2 -0.3024, NCRPS 0.6993, RQE 11.9119
x30: Cal. error 0.3550, RMSE 0.2745, R2 -0.8803, NCRPS 0.9513, RQE 12.3325
x31: Cal. error 0.4670, RMSE 0.3718, R2 -2.0509, NCRPS 1.4221, RQE 12.5728
x32: Cal. error 0.4780, RMSE 0.3089, R2 -1.1831, NCRPS 1.1770, RQE 12.8766
x33: Cal. error 0.4290, RMSE 0.2704, R2 -0.7423, NCRPS 0.9777, RQE 12.3545
x34: Cal. error 0.0450, RMSE 0.2084, R2 -0.0041, NCRPS 0.5904, RQE 11.3069
x35: Cal. error 0.4330, RMSE 0.2874, R2 -0.9214, NCRPS 1.0313, RQE 12.5873
x36: Cal. error 0.4860, RMSE 0.2827, R2 -0.8387, NCRPS 1.0724, RQE 12.5012
x37: Cal. error 0.2760, RMSE 0.2547, R2 -0.4134, NCRPS 0.7609, RQE 11.9809
x38: Cal. error 0.3820, RMSE 0.2679, R2 -0.7892, NCRPS 0.9450, RQE 12.3584
x39: Cal. error 0.4730, RMSE 0.3693, R2 -2.0112, NCRPS 1.4214, RQE 12.5842
x40: Cal. error 0.4820, RMSE 0.3085, R2 -1.1774, NCRPS 1.1747, RQE 12.8784
x41: Cal. error 0.4430, RMSE 0.2714, R2 -0.7551, NCRPS 0.9886, RQE 12.3471
x42: Cal. error 0.0320, RMSE 0.2088, R2 -0.0076, NCRPS 0.5797, RQE 11.2416
x43: Cal. error 0.4450, RMSE 0.2880, R2 -0.9298, NCRPS 1.0402, RQE 12.5830
x44: Cal. error 0.4920, RMSE 0.2828, R2 -0.8396, NCRPS 1.0758, RQE 12.5040
x45: Cal. error 0.3200, RMSE 0.2569, R2 -0.4419, NCRPS 0.7810, RQE 11.9563
x46: Cal. error 0.4000, RMSE 0.2666, R2 -0.7707, NCRPS 0.9459, RQE 12.3828
x47: Cal. error 0.4750, RMSE 0.3687, R2 -2.0012, NCRPS 1.4182, RQE 12.5895
x48: Cal. error 0.4750, RMSE 0.3091, R2 -1.1883, NCRPS 1.1733, RQE 12.8689
x49: Cal. error 0.4370, RMSE 0.2685, R2 -0.7177, NCRPS 0.9709, RQE 12.3171
x50: Cal. error 0.0350, RMSE 0.2103, R2 -0.0218, NCRPS 0.5855, RQE 11.0520
x51: Cal. error 0.4440, RMSE 0.2854, R2 -0.8948, NCRPS 1.0260, RQE 12.5614
x52: Cal. error 0.4900, RMSE 0.2820, R2 -0.8291, NCRPS 1.0717, RQE 12.4962
x53: Cal. error 0.2990, RMSE 0.2509, R2 -0.3745, NCRPS 0.7516, RQE 11.8788
x54: Cal. error 0.3930, RMSE 0.2709, R2 -0.8280, NCRPS 0.9567, RQE 12.3985
x55: Cal. error 0.4730, RMSE 0.3700, R2 -2.0238, NCRPS 1.4166, RQE 12.5874
x56: Cal. error 0.4710, RMSE 0.3104, R2 -1.2069, NCRPS 1.1730, RQE 12.8657
x57: Cal. error 0.4290, RMSE 0.2635, R2 -0.6574, NCRPS 0.9385, RQE 12.2821
x58: Cal. error 0.0640, RMSE 0.2213, R2 -0.1322, NCRPS 0.6194, RQE 10.8397
x59: Cal. error 0.4310, RMSE 0.2811, R2 -0.8378, NCRPS 0.9996, RQE 12.5357
x60: Cal. error 0.4870, RMSE 0.2805, R2 -0.8108, NCRPS 1.0626, RQE 12.4862
x61: Cal. error 0.2430, RMSE 0.2413, R2 -0.2702, NCRPS 0.7020, RQE 11.7908
x62: Cal. error 0.3820, RMSE 0.2778, R2 -0.9232, NCRPS 0.9730, RQE 12.4002
x63: Cal. error 0.4680, RMSE 0.3725, R2 -2.0605, NCRPS 1.4170, RQE 12.6009
x64: Cal. error 0.4650, RMSE 0.3117, R2 -1.2286, NCRPS 1.1735, RQE 12.8616
x65: Cal. error 0.4130, RMSE 0.2584, R2 -0.5930, NCRPS 0.9056, RQE 12.2524
x66: Cal. error 0.0840, RMSE 0.2415, R2 -0.3482, NCRPS 0.6829, RQE 10.6654
x67: Cal. error 0.4190, RMSE 0.2764, R2 -0.7778, NCRPS 0.9719, RQE 12.5134
x68: Cal. error 0.4800, RMSE 0.2789, R2 -0.7886, NCRPS 1.0514, RQE 12.4773
x69: Cal. error 0.1890, RMSE 0.2324, R2 -0.1783, NCRPS 0.6588, RQE 11.7177
x70: Cal. error 0.3640, RMSE 0.2854, R2 -1.0294, NCRPS 0.9918, RQE 12.3959
x71: Cal. error 0.4590, RMSE 0.3749, R2 -2.0940, NCRPS 1.4171, RQE 12.6072
x72: Cal. error 0.4590, RMSE 0.3127, R2 -1.2429, NCRPS 1.1738, RQE 12.8576
x73: Cal. error 0.3980, RMSE 0.2542, R2 -0.5419, NCRPS 0.8794, RQE 12.2334
x74: Cal. error 0.0930, RMSE 0.2640, R2 -0.6096, NCRPS 0.7608, RQE 10.5630
x75: Cal. error 0.4110, RMSE 0.2727, R2 -0.7323, NCRPS 0.9498, RQE 12.4978
x76: Cal. error 0.4750, RMSE 0.2775, R2 -0.7706, NCRPS 1.0421, RQE 12.4711
x77: Cal. error 0.1330, RMSE 0.2263, R2 -0.1171, NCRPS 0.6292, RQE 11.6720
x78: Cal. error 0.3500, RMSE 0.2917, R2 -1.1189, NCRPS 1.0081, RQE 12.3897
x79: Cal. error 0.4550, RMSE 0.3766, R2 -2.1229, NCRPS 1.4187, RQE 12.5988

Average values: Cal. error 0.3734, RMSE 0.3211, R2 -2.4996, NCRPS 1.1883, RQE 12.1708

Standard deviation: Cal. error 0.1406, RMSE 0.2209, R2 11.4757, NCRPS 1.0875, RQE 0.8248


Average values: Cal. error, RMSE, R2 

		 0.3734 $ \pm$ 0.1406 & 0.3211  $ \pm$ 0.2209 &  -2.4996 $ \pm$ 11.4757 \\ 

		 0.3734  & 0.3211  &  -2.4996  \\ 

NaN/Inf check for metric arrays:
Cal error: has_nan=False, has_inf=False, shape=(80,)
RMSE: has_nan=False, has_inf=False, shape=(80,)
R2: has_nan=False, has_inf=False, shape=(80,)
NCRPS: has_nan=False, has_inf=False, shape=(80,)
RQE: has_nan=False, has_inf=False, shape=(80,)
