Calibration metrics:
x0: Cal. error 0.1690, RMSE 0.0869, R2 0.8271, NCRPS 0.2498, RQE 11.8692
x35: Cal. error 0.0840, RMSE 0.1525, R2 0.4590, NCRPS 0.4062, RQE 11.5346
x36: Cal. error 0.0740, RMSE 0.1535, R2 0.4581, NCRPS 0.4011, RQE 11.4961
x37: Cal. error 0.1040, RMSE 0.1547, R2 0.4785, NCRPS 0.4014, RQE 11.2694
x38: Cal. error 0.0810, RMSE 0.1454, R2 0.4726, NCRPS 0.4021, RQE 11.5592
x39: Cal. error 0.0510, RMSE 0.1588, R2 0.4433, NCRPS 0.4105, RQE 11.3633
x40: Cal. error 0.0870, RMSE 0.1625, R2 0.3962, NCRPS 0.4331, RQE 11.8779
x41: Cal. error 0.0230, RMSE 0.1594, R2 0.3945, NCRPS 0.4267, RQE 11.4499
x42: Cal. error 0.0720, RMSE 0.1612, R2 0.3992, NCRPS 0.4301, RQE 11.2841
x43: Cal. error 0.0760, RMSE 0.1578, R2 0.4204, NCRPS 0.4203, RQE 11.5472
x44: Cal. error 0.0620, RMSE 0.1609, R2 0.4041, NCRPS 0.4219, RQE 11.5020
x45: Cal. error 0.0860, RMSE 0.1615, R2 0.4307, NCRPS 0.4190, RQE 11.2712
x46: Cal. error 0.0760, RMSE 0.1516, R2 0.4277, NCRPS 0.4178, RQE 11.5654
x47: Cal. error 0.0450, RMSE 0.1642, R2 0.4049, NCRPS 0.4259, RQE 11.3591
x48: Cal. error 0.0780, RMSE 0.1663, R2 0.3663, NCRPS 0.4444, RQE 11.8712
x49: Cal. error 0.0270, RMSE 0.1649, R2 0.3519, NCRPS 0.4440, RQE 11.4480
x50: Cal. error 0.0650, RMSE 0.1680, R2 0.3482, NCRPS 0.4488, RQE 11.2835
x51: Cal. error 0.0690, RMSE 0.1637, R2 0.3764, NCRPS 0.4368, RQE 11.5399
x52: Cal. error 0.0600, RMSE 0.1654, R2 0.3704, NCRPS 0.4354, RQE 11.4983
x53: Cal. error 0.0920, RMSE 0.1697, R2 0.3718, NCRPS 0.4421, RQE 11.2849
x54: Cal. error 0.0600, RMSE 0.1580, R2 0.3780, NCRPS 0.4362, RQE 11.5663
x55: Cal. error 0.0490, RMSE 0.1682, R2 0.3751, NCRPS 0.4389, RQE 11.3605
x56: Cal. error 0.0800, RMSE 0.1704, R2 0.3346, NCRPS 0.4590, RQE 11.8712
x57: Cal. error 0.0250, RMSE 0.1703, R2 0.3079, NCRPS 0.4590, RQE 11.4475
x58: Cal. error 0.0750, RMSE 0.1715, R2 0.3203, NCRPS 0.4614, RQE 11.2846
x59: Cal. error 0.0630, RMSE 0.1709, R2 0.3205, NCRPS 0.4562, RQE 11.5381
x60: Cal. error 0.0600, RMSE 0.1713, R2 0.3245, NCRPS 0.4537, RQE 11.4961
x61: Cal. error 0.0800, RMSE 0.1731, R2 0.3466, NCRPS 0.4533, RQE 11.2970
x62: Cal. error 0.0500, RMSE 0.1614, R2 0.3512, NCRPS 0.4465, RQE 11.5694
x63: Cal. error 0.0560, RMSE 0.1742, R2 0.3307, NCRPS 0.4569, RQE 11.3818
x64: Cal. error 0.0860, RMSE 0.1761, R2 0.2887, NCRPS 0.4763, RQE 11.8812
x65: Cal. error 0.0390, RMSE 0.1747, R2 0.2712, NCRPS 0.4739, RQE 11.4495
x66: Cal. error 0.0770, RMSE 0.1756, R2 0.2873, NCRPS 0.4744, RQE 11.2813
x67: Cal. error 0.0530, RMSE 0.1750, R2 0.2876, NCRPS 0.4684, RQE 11.5375
x68: Cal. error 0.0580, RMSE 0.1749, R2 0.2967, NCRPS 0.4673, RQE 11.4976
x69: Cal. error 0.0840, RMSE 0.1780, R2 0.3088, NCRPS 0.4688, RQE 11.2987
x70: Cal. error 0.0450, RMSE 0.1648, R2 0.3234, NCRPS 0.4569, RQE 11.5684
x71: Cal. error 0.0530, RMSE 0.1776, R2 0.3056, NCRPS 0.4656, RQE 11.3980
x72: Cal. error 0.0870, RMSE 0.1796, R2 0.2605, NCRPS 0.4854, RQE 11.8897
x73: Cal. error 0.0360, RMSE 0.1781, R2 0.2427, NCRPS 0.4845, RQE 11.4498
x74: Cal. error 0.0710, RMSE 0.1784, R2 0.2650, NCRPS 0.4830, RQE 11.2831
x75: Cal. error 0.0540, RMSE 0.1785, R2 0.2578, NCRPS 0.4802, RQE 11.5366
x76: Cal. error 0.0600, RMSE 0.1793, R2 0.2610, NCRPS 0.4804, RQE 11.4963
x77: Cal. error 0.0890, RMSE 0.1813, R2 0.2831, NCRPS 0.4787, RQE 11.2963
x78: Cal. error 0.0380, RMSE 0.1697, R2 0.2832, NCRPS 0.4709, RQE 11.5696
x79: Cal. error 0.0470, RMSE 0.1820, R2 0.2707, NCRPS 0.4781, RQE 11.3979

Average values: Cal. error 0.0814, RMSE 0.1473, R2 0.4793, NCRPS 0.3953, RQE 11.4842

Standard deviation: Cal. error 0.0474, RMSE 0.0296, R2 0.1807, NCRPS 0.0746, RQE 0.1811


Average values: Cal. error, RMSE, R2 

		 0.0814 $ \pm$ 0.0474 & 0.1473  $ \pm$ 0.0296 &  0.4793 $ \pm$ 0.1807 \\ 

		 0.0814  & 0.1473  &  0.4793  \\ 

NaN/Inf check for metric arrays:
Cal error: has_nan=False, has_inf=False, shape=(80,)
RMSE: has_nan=False, has_inf=False, shape=(80,)
R2: has_nan=False, has_inf=False, shape=(80,)
NCRPS: has_nan=False, has_inf=False, shape=(80,)
RQE: has_nan=False, has_inf=False, shape=(80,)
