Calibration metrics:
x0: Cal. error 0.0430, RMSE 0.6553, R2 -8.8263, NCRPS 1.2303, RQE 6.2459
x31: Cal. error 0.1300, RMSE 0.2557, R2 -0.4437, NCRPS 0.6814, RQE 10.7484
x32: Cal. error 0.0500, RMSE 0.6690, R2 -9.2379, NCRPS 1.1440, RQE 5.5660
x33: Cal. error 0.0760, RMSE 0.2247, R2 -0.2038, NCRPS 0.6313, RQE 10.6564
x34: Cal. error 0.0180, RMSE 0.2099, R2 -0.0183, NCRPS 0.5795, RQE 10.8928
x35: Cal. error 0.0870, RMSE 0.3108, R2 -1.2478, NCRPS 0.7322, RQE 9.5388
x36: Cal. error 0.0150, RMSE 0.7036, R2 -10.3922, NCRPS 1.2280, RQE 5.1707
x37: Cal. error 0.1600, RMSE 0.2339, R2 -0.1925, NCRPS 0.6376, RQE 10.5082
x38: Cal. error 0.2960, RMSE 0.2041, R2 -0.0389, NCRPS 0.7753, RQE 10.1297
x39: Cal. error 0.1170, RMSE 0.2570, R2 -0.4579, NCRPS 0.6820, RQE 10.7253
x40: Cal. error 0.0700, RMSE 0.6760, R2 -9.4526, NCRPS 1.1488, RQE 5.4734
x41: Cal. error 0.0830, RMSE 0.2218, R2 -0.1722, NCRPS 0.6230, RQE 10.6603
x42: Cal. error 0.0140, RMSE 0.2072, R2 0.0076, NCRPS 0.5735, RQE 10.8955
x43: Cal. error 0.1000, RMSE 0.3132, R2 -1.2830, NCRPS 0.7334, RQE 9.4843
x44: Cal. error 0.0080, RMSE 0.7134, R2 -10.7094, NCRPS 1.2289, RQE 5.0669
x45: Cal. error 0.1670, RMSE 0.2276, R2 -0.1312, NCRPS 0.6284, RQE 10.5323
x46: Cal. error 0.2950, RMSE 0.2018, R2 -0.0143, NCRPS 0.7722, RQE 10.1278
x47: Cal. error 0.1130, RMSE 0.2567, R2 -0.4549, NCRPS 0.6804, RQE 10.7036
x48: Cal. error 0.0750, RMSE 0.6979, R2 -10.1567, NCRPS 1.1745, RQE 5.2973
x49: Cal. error 0.0860, RMSE 0.2214, R2 -0.1680, NCRPS 0.6221, RQE 10.6469
x50: Cal. error 0.0100, RMSE 0.2067, R2 0.0126, NCRPS 0.5752, RQE 10.8976
x51: Cal. error 0.1100, RMSE 0.3234, R2 -1.4327, NCRPS 0.7471, RQE 9.4057
x52: Cal. error 0.0080, RMSE 0.7352, R2 -11.4342, NCRPS 1.2542, RQE 4.8878
x53: Cal. error 0.1630, RMSE 0.2237, R2 -0.0926, NCRPS 0.6220, RQE 10.5519
x54: Cal. error 0.2740, RMSE 0.2104, R2 -0.1034, NCRPS 0.7872, RQE 10.1306
x55: Cal. error 0.1010, RMSE 0.2608, R2 -0.5022, NCRPS 0.6861, RQE 10.6745
x56: Cal. error 0.0920, RMSE 0.7235, R2 -10.9898, NCRPS 1.2138, RQE 5.1224
x57: Cal. error 0.0790, RMSE 0.2235, R2 -0.1922, NCRPS 0.6245, RQE 10.6320
x58: Cal. error 0.0120, RMSE 0.2089, R2 -0.0088, NCRPS 0.5837, RQE 10.9098
x59: Cal. error 0.1150, RMSE 0.3381, R2 -1.6598, NCRPS 0.7698, RQE 9.3174
x60: Cal. error 0.0150, RMSE 0.7618, R2 -12.3533, NCRPS 1.2915, RQE 4.6938
x61: Cal. error 0.1620, RMSE 0.2235, R2 -0.0898, NCRPS 0.6201, RQE 10.5798
x62: Cal. error 0.2660, RMSE 0.2206, R2 -0.2122, NCRPS 0.8045, RQE 10.1510
x63: Cal. error 0.0970, RMSE 0.2648, R2 -0.5470, NCRPS 0.6925, RQE 10.6687
x64: Cal. error 0.0980, RMSE 0.7417, R2 -11.6187, NCRPS 1.2468, RQE 4.9499
x65: Cal. error 0.0810, RMSE 0.2248, R2 -0.2060, NCRPS 0.6273, RQE 10.6186
x66: Cal. error 0.0180, RMSE 0.2130, R2 -0.0487, NCRPS 0.5962, RQE 10.9160
x67: Cal. error 0.1070, RMSE 0.3522, R2 -1.8859, NCRPS 0.7928, RQE 9.2404
x68: Cal. error 0.0190, RMSE 0.7833, R2 -13.1101, NCRPS 1.3202, RQE 4.5076
x69: Cal. error 0.1530, RMSE 0.2255, R2 -0.1091, NCRPS 0.6257, RQE 10.6019
x70: Cal. error 0.2630, RMSE 0.2254, R2 -0.2662, NCRPS 0.8129, RQE 10.1654
x71: Cal. error 0.0890, RMSE 0.2684, R2 -0.5860, NCRPS 0.6970, RQE 10.6562
x72: Cal. error 0.1150, RMSE 0.7650, R2 -12.4221, NCRPS 1.2955, RQE 4.7859
x73: Cal. error 0.0800, RMSE 0.2242, R2 -0.1995, NCRPS 0.6301, RQE 10.6066
x74: Cal. error 0.0250, RMSE 0.2127, R2 -0.0453, NCRPS 0.5961, RQE 10.9312
x75: Cal. error 0.1050, RMSE 0.3670, R2 -2.1376, NCRPS 0.8172, RQE 9.1582
x76: Cal. error 0.0250, RMSE 0.8079, R2 -14.0102, NCRPS 1.3688, RQE 4.3289
x77: Cal. error 0.1430, RMSE 0.2270, R2 -0.1245, NCRPS 0.6277, RQE 10.6301
x78: Cal. error 0.2720, RMSE 0.2252, R2 -0.2627, NCRPS 0.8141, RQE 10.1859
x79: Cal. error 0.0830, RMSE 0.2711, R2 -0.6188, NCRPS 0.7006, RQE 10.6288

Average values: Cal. error 0.1031, RMSE 0.3595, R2 -2.9363, NCRPS 0.8173, RQE 9.1313

Standard deviation: Cal. error 0.0833, RMSE 0.2048, R2 4.4649, NCRPS 0.2460, RQE 2.2701


Average values: Cal. error, RMSE, R2 

		 0.1031 $ \pm$ 0.0833 & 0.3595  $ \pm$ 0.2048 &  -2.9363 $ \pm$ 4.4649 \\ 

		 0.1031  & 0.3595  &  -2.9363  \\ 

NaN/Inf check for metric arrays:
Cal error: has_nan=False, has_inf=False, shape=(80,)
RMSE: has_nan=False, has_inf=False, shape=(80,)
R2: has_nan=False, has_inf=False, shape=(80,)
NCRPS: has_nan=False, has_inf=False, shape=(80,)
RQE: has_nan=False, has_inf=False, shape=(80,)
